Category,Metric,Value,Unit,Source/Note
Factor,Impact,Discount %,,
Private company,No liquidity premium,-20%,,
Single product risk,Aviator = 92% revenue,-15%,,
Regulatory risk,iGaming B2B exposure,-10%,,
Revenue concentration,Top operators = large share,-5%,,
Growth premium,Faster growth than Evolution,+10%,,
Software margin,Higher margins than Evolution,+5%,,
Total estimated discount,,-35%,,
Implied fair P/S (OLD: Evo 10x),Evolution 10x × (1-35%),6.5x,$3250,"Based on pre-correction Evolution P/S"
UPDATED: Implied fair P/S,Evolution 4.9x × (1-35%) + growth premium,3.5-4.5x,$1750-2250,"Based on actual FY2025 Evolution P/S 4.9x"
,,,,
═══ GROWTH PROJECTIONS ═══,,,,
Growth,2024 Revenue est.,$500,M USD,Base
Growth,2025 Revenue (25% growth),$625,M USD,
Growth,2026 Revenue (20% growth),$750,M USD,
Growth,2027 Revenue (15% growth),$863,M USD,Maturing
Growth,2027 EBITDA (70% margin),$604,M USD,
Growth,2027 Valuation @ 6x P/S,$5175,M USD,$5B+ if execution holds
,,,,
═══ MARKET CONTEXT ═══,,,,
Online Gambling Global,Total GGR 2024,$78.7-95,B USD,"GVR: $78.7B, GM Insights: $93-95B"
Online Gambling Global,H2GC total gambling 2023,$536,B USD,H2 Gambling Capital
Online Gambling Global,H2GC total gambling 2024,$573,B USD,+7% YoY
Online Gambling,CAGR 2024-2030,11.9%,,Grand View Research → $153.6B by 2030
Crash Games Segment,Estimated GGR 2024,$1-3,B USD,"H2GC: 1.1% of EU iCasino; broader global est. higher"
Crash Games,Aviator annual wagers 2025,EUR 160,B EUR,"Tribuna: EUR 160B in 2025"
Crash Games,CAGR 2024-2027,25-30%,,Fastest growing segment
Crash Games,Content growth,+57.6%,YoY,New crash titles launched
Casino Online,Share of online gambling,~35-40%,,EGBA: >50% in Europe
Sports Betting,Share of online gambling,~45-56%,,GVR: 56%
Poker + Lottery + Other,Share,~10-20%,,
,,,,
═══ UPDATED OPERATOR REVENUES (2025) ═══,,,,
Flutter/FanDuel,Revenue 2025,$16400,M USD,+17% YoY
DraftKings,Revenue 2025,$6050,M USD,+27% YoY; first annual profit
Bet365,Revenue 2025,$5100,M USD,£4.04B; +9% YoY
Stake.com,Est. GGR 2025,$4700,M USD,"Crypto operator, est. valuation $14-23B"
Entain,NGR 2025,$6800,M USD,"£5.33B + BetMGM; total £6.4B"
Super Group/Betway,Revenue 2025,$2200,M USD,+22% YoY
US iGaming total,Revenue 2025,$10740,M USD,+27.6% YoY
,,,,
═══ SPRIBE UPDATED METRICS (2025-2026 data) ═══,,,,
Spribe,Total registered players,380,M,"Tribuna Feb 2026 (60M = MAU, not total)"
Spribe,Monthly active users,60,M,
Spribe,Bets per minute,350000,,Target: 1M
Spribe,Annual wagers 2025,EUR 160,B EUR,Tribuna
Spribe,HQ relocated to,Warsaw,,"Originally Georgia, now Warsaw + Malta"
Spribe,EBITDA estimate,$300-400,M USD,Industry estimates
