Company,Type,HQ,Year Founded,Flagship Product,Estimated Revenue (M USD),Market Cap (M USD),EBITDA Margin %,P/S Ratio,EV/EBITDA,Crash Market Share %,GGR Take Rate %,Key Markets,Employees,Business Model,Key Differentiator,Public/Private
Entain,Operator,UK,2004,Ladbrokes / BetMGM,5000,8000,18%,~1.6x,~9x,N/A,N/A,"UK, EU, USA (BetMGM)",30000+,B2C operator,"Multi-brand, BetMGM JV",Public (ENT.L)
DraftKings,Operator,USA,2012,DraftKings Sportsbook,6050 (+27% YoY),18000,10% (first profit),~3.0x,~29x,US crash only (Rocket=20% DK Casino),N/A,USA primarily,5000+,B2C operator,"First annual profit $3.7M, 4M MAU, Rocket ~20% casino volume",Public (DKNG)
888 / Everi,Operator,Gibraltar,1997,888casino,1800,1200,12%,~0.7x,~6x,N/A,N/A,"UK, EU",3000+,B2C operator,Legacy online brand,Public
Stake.com,Operator,Curaçao,2017,Stake Casino,4700 GGR (2025 est.),14000-23000 (est.),40%+ (est.),N/A,N/A,N/A,N/A,"Global, crypto, 127M visits/mo",1000+,B2C crypto operator,"Largest crypto casino, $10B bets/mo, est. val $14-23B",Private
1xBet,Operator,Cyprus/CIS,2007,1xBet,2000+ (est.),N/A,N/A,N/A,N/A,N/A,N/A,"CIS, Africa, Asia, LatAm",5000+,B2C operator,Aggressive global expansion,Private
Hollywoodbets,Operator,South Africa,1999,Hollywoodbets,500+ (est.),N/A,N/A,N/A,N/A,N/A,N/A,"South Africa, UK",3000+,B2C operator,"Africa leader, Aviator top game",Private
Betway,Operator,Malta/UK,2006,Betway,800+ (est.),Part of Super Group,N/A,N/A,N/A,N/A,N/A,"Africa, Europe, Americas",2000+,B2C operator,Strong Africa brand,Public (SGHC)
Kindred (Unibet),Operator,Malta,1997,Unibet,1400,3500,12%,~2.5x,~20x,N/A,N/A,"Europe, AUS",2000,B2C operator,Sustainability focus,Public (KIND.ST)
,,,,,,,,,,,,,,,,
═══ PAM PLATFORMS ═══,,,,,,,,,,,,,,,,
EveryMatrix,PAM Platform,Malta,2008,CasinoEngine + OddsMatrix,~200 (EUR 54M/Q1 +39%),N/A,30-40%,N/A,N/A,N/A,N/A,"Europe, LatAm, Africa (Veikkaus, Kindred, bet-at-home)",800+,B2B platform + aggregation,"First Spribe client, 255K bets/min peak",Private
SoftSwiss,PAM Platform,Belarus/Malta,2008,SoftSwiss Platform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Europe, CIS, crypto (1400+ brands, 600+ casino clients)",800+,B2B platform,"40K+ games, 300+ providers, 24 jurisdictions, 99.999% uptime",Private
BetConstruct,PAM Platform,Armenia,2003,Spring Platform,80-120 (est.),N/A,30-40%,N/A,N/A,N/A,N/A,"CIS, Europe, Asia",2000+,B2B full stack,"Own games + platform",Private
GR8 Tech,PAM Platform,Ukraine/Malta,2022 (spinoff),GR8 Platform,40-60 (est.),N/A,N/A,N/A,N/A,N/A,N/A,"CIS, Europe",500+,B2B platform,Parimatch Tech spinoff,Private
Digitain,PAM Platform,Armenia,2003,Digitain Sportsbook,30-50 (est.),N/A,30%+,N/A,N/A,N/A,N/A,"Europe, Asia, Africa",800+,B2B sportsbook + platform,Sportsbook specialist,Private
